id,timestamp,actor,action,target,ip,detail,outcome
1,2026-08-05 04:10:00,christopher.miller.1@traveller.test,login_failure,auth,198.51.100.49,bad credentials,failure
2,2026-08-05 01:45:00,christopher.miller.1@traveller.test,login_success,auth,198.51.100.40,,success
3,2026-08-05 02:45:00,christopher.miller.1@example.com,login_success,auth,198.51.100.51,,success
4,2026-08-04 09:00:00,self_registration,tourist_registered,tourist:1,198.51.100.19,digital_id=STS-71963A4B3637 nationality=American,success
5,2026-08-17 11:30:00,self_registration,tourist_registered,tourist:2,203.0.113.4,digital_id=STS-FE32AAA3098D nationality=Indian,success
6,2026-08-30 17:08:00,kabir.baishya.3@traveller.test,login_success,auth,203.0.113.3,,success
7,2026-08-28 13:46:00,kabir.baishya.3@mailbox.test,login_success,auth,198.51.100.3,,success
8,2026-08-29 11:27:00,kabir.baishya.3@inbox.test,login_success,auth,203.0.113.13,,success
9,2026-08-28 11:45:00,self_registration,tourist_registered,tourist:3,203.0.113.58,digital_id=STS-ECA91D869746 nationality=Indian,success
10,2026-08-06 05:09:00,ethan.williams.4@example.com,login_success,auth,198.51.100.17,,success
11,2026-08-04 06:39:00,ethan.williams.4@mailbox.test,login_success,auth,198.51.100.17,,success
12,2026-08-03 11:21:00,ethan.williams.4@traveller.test,login_success,auth,198.51.100.18,,success
13,2026-08-01 03:05:00,ethan.williams.4@inbox.test,login_success,auth,203.0.113.2,,success
14,2026-08-02 12:48:00,ethan.williams.4@traveller.test,login_success,auth,203.0.113.36,,success
15,2026-08-02 06:56:00,ethan.williams.4@example.com,login_success,auth,198.51.100.46,,success
16,2026-08-03 06:27:00,ethan.williams.4@traveller.test,login_failure,auth,198.51.100.11,bad credentials,failure
17,2026-07-31 14:45:00,self_registration,tourist_registered,tourist:4,198.51.100.20,digital_id=STS-81330C8C06AD nationality=American,success
18,2026-08-27 06:36:00,lucia.lopez.5@mailbox.test,login_success,auth,198.51.100.16,,success
19,2026-08-29 13:18:00,lucia.lopez.5@example.com,login_success,auth,198.51.100.41,,success
