id,device_id,tourist_id,api_key,firmware_version,battery_pct,last_heartbeat,active,created_at
1,BAND-00005-9962,5,40cdc96bd50e2b060dd2a971931ccf09,1.4.0,95.5,2026-09-05 18:33:13,1,2026-08-22 17:00:00
2,BAND-00007-7870,7,e4d05b02bcd65e857b01af6411d42263,2.1.4,98.2,2026-08-24 06:49:27,1,2026-08-15 12:30:00
3,BAND-00008-2440,8,d6d397c3acda0a3edf94a65c29984996,1.4.0,91.2,2026-09-05 18:37:05,1,2026-08-18 06:15:00
4,BAND-00012-9484,12,7ff51e8c63d7264d2d03a461285ed155,1.0.0,37.0,2026-09-05 18:26:29,0,2026-08-13 08:45:00
5,BAND-00014-5135,14,7a37f76f6999e0b4d5c7fdba8df56ac0,2.0.1,56.2,2026-09-05 18:35:26,1,2026-08-30 20:00:00
6,BAND-00015-7080,15,679a9ba0d7e8d95dba7a1adf7beb8035,1.4.0,62.7,2026-09-02 06:49:02,1,2026-08-24 20:30:00
7,BAND-00017-9392,17,38a8fdd2206889a2e83ee9bff2ce7ec5,1.4.0,95.5,2026-08-20 06:37:58,1,2026-07-21 04:00:00
8,BAND-00022-6666,22,6a169f94581b376218da0c609067291c,2.1.4,44.4,2026-08-07 06:54:26,1,2026-07-30 20:30:00
9,BAND-00023-7203,23,0b721a1edcad81b4bda6398e98325ce1,2.1.0,96.0,2026-08-11 06:33:07,1,2026-07-28 05:30:00
10,BAND-00029-6809,29,0effd4e9c30ed8897885dbfe5c71a405,3.0.0-beta,52.6,2026-08-23 06:40:27,1,2026-08-12 14:00:00
11,BAND-00032-6758,32,0bf08ed717df325857786e4c02cf9055,2.1.4,81.2,2026-08-12 06:33:52,1,2026-07-22 09:15:00
12,BAND-00033-2689,33,db7893ad53c020d028a92f31b9c64d5d,2.0.1,77.7,2026-07-30 06:41:03,1,2026-07-15 18:15:00
13,BAND-00040-4774,40,d16adb5f22ccb8799ac03937b6c17707,2.1.0,70.3,2026-09-05 06:30:53,0,2026-08-06 19:30:00
14,BAND-00042-4076,42,3ce88914f8ea0c1ce82f2ad4e44bd20b,2.1.4,90.8,2026-08-05 07:06:07,1,2026-07-21 08:15:00
15,BAND-00046-9130,46,2c4dfd8858207a205bac9340d5e9391c,3.0.0-beta,69.1,2026-08-04 06:46:38,1,2026-07-11 12:15:00
