id,fir_number,incident_id,tourist_id,status,narrative,last_known_lat,last_known_lng,last_seen_at,filed_at,closed_at
1,EFIR/2026/00044,183,44,closed,"This E-FIR is auto-generated for missing person James Smith (Digital Tourist ID: STS-0E84DE5899A3, PASSPORT No: 003810741). The tourist was last seen at coordinates (25.93594, 91.43534) on 2026-08-19T06:34:05. The Smart Tourist Safety system recorded 9 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",25.935939,91.435342,2026-08-19 06:34:05,2026-08-19 15:34:05,2026-08-21 04:34:05
2,EFIR/2026/00072,264,72,filed,"This E-FIR is auto-generated for missing person Ishita Das (Digital Tourist ID: STS-B1FBF14EA6F3, AADHAAR No: XXXX-XXXX-4440). The tourist was last seen at coordinates (26.10584, 91.58572) on 2026-09-05T06:30:57. The Smart Tourist Safety system recorded 60 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",26.105835,91.585723,2026-09-05 06:30:57,2026-09-05 16:30:57,
3,EFIR/2026/00123,415,123,closed,"This E-FIR is auto-generated for missing person Junmoni Kumar (Digital Tourist ID: STS-F4758131B4D3, AADHAAR No: XXXX-XXXX-5276). The tourist was last seen at coordinates (26.36448, 91.63296) on 2026-08-29T06:30:58. The Smart Tourist Safety system recorded 1 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",26.364475,91.632955,2026-08-29 06:30:58,2026-08-29 16:30:58,2026-09-02 07:30:58
4,EFIR/2026/00135,449,135,filed,"This E-FIR is auto-generated for missing person Divya Reddy (Digital Tourist ID: STS-EA44ECDD2E31, AADHAAR No: XXXX-XXXX-6352). The tourist was last seen at coordinates (26.92094, 92.88199) on 2026-09-05T18:29:50. The Smart Tourist Safety system recorded 52 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",26.920943,92.881988,2026-09-05 18:29:50,2026-09-06 00:29:50,
5,EFIR/2026/00204,691,204,filed,"This E-FIR is auto-generated for missing person Ethan Jones (Digital Tourist ID: STS-4B274830C1B7, PASSPORT No: 462714871). The tourist was last seen at coordinates (25.27901, 91.68961) on 2026-09-05T18:09:13. The Smart Tourist Safety system recorded 97 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",25.279014,91.68961,2026-09-05 18:09:13,2026-09-06 03:09:13,
6,EFIR/2026/00292,1005,292,filed,"This E-FIR is auto-generated for missing person Anurag Hazarika (Digital Tourist ID: STS-566DACFC66DF, AADHAAR No: XXXX-XXXX-3523). The tourist was last seen at coordinates (27.54351, 93.83304) on 2026-08-21T06:33:28. The Smart Tourist Safety system recorded 137 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",27.543506,93.833039,2026-08-21 06:33:28,2026-08-21 16:33:28,
7,EFIR/2026/00356,1265,356,filed,"This E-FIR is auto-generated for missing person Aarav Choudhury (Digital Tourist ID: STS-EF747181D3BA, VOTERID No: RXU1435256). The tourist was last seen at coordinates (27.54653, 93.83564) on 2026-09-05T06:49:18. The Smart Tourist Safety system recorded 272 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",27.546534,93.835638,2026-09-05 06:49:18,2026-09-05 12:49:18,
8,EFIR/2026/00403,1435,403,filed,"This E-FIR is auto-generated for missing person Kabir Verma (Digital Tourist ID: STS-AD94CEEBDDFF, PAN No: ENZRH1577F). The tourist was last seen at coordinates (26.14992, 91.77846) on 2026-08-22T06:46:06. The Smart Tourist Safety system recorded 20 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",26.149924,91.778461,2026-08-22 06:46:06,2026-08-22 16:46:06,
9,EFIR/2026/00563,1968,563,filed,"This E-FIR is auto-generated for missing person Rituparna Kalita (Digital Tourist ID: STS-75D0E8F2F702, PASSPORT No: Z4745196). The tourist was last seen at coordinates (25.67202, 94.11105) on 2026-09-05T18:26:58. The Smart Tourist Safety system recorded 50 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",25.672021,94.111051,2026-09-05 18:26:58,2026-09-06 05:26:58,
10,EFIR/2026/00580,2026,580,filed,"This E-FIR is auto-generated for missing person Rohan Patel (Digital Tourist ID: STS-5400C6C4611E, VOTERID No: PXN7600693). The tourist was last seen at coordinates (24.82069, 93.93835) on 2026-08-14T07:01:39. The Smart Tourist Safety system recorded 7 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",24.820686,93.938347,2026-08-14 07:01:39,2026-08-14 13:01:39,
11,EFIR/2026/00595,2087,595,filed,"This E-FIR is auto-generated for missing person Divya Nair (Digital Tourist ID: STS-ACEE91904DB3, AADHAAR No: XXXX-XXXX-5454). The tourist was last seen at coordinates (27.32955, 88.61695) on 2026-08-06T06:54:24. The Smart Tourist Safety system recorded 99 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",27.329553,88.616953,2026-08-06 06:54:24,2026-08-06 16:54:24,
12,EFIR/2026/00712,2506,712,filed,"This E-FIR is auto-generated for missing person Manish Gogoi (Digital Tourist ID: STS-46ED07BB947F, AADHAAR No: XXXX-XXXX-3909). The tourist was last seen at coordinates (26.17044, 91.77053) on 2026-08-24T06:50:46. The Smart Tourist Safety system recorded 29 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",26.170445,91.770529,2026-08-24 06:50:46,2026-08-24 13:50:46,
13,EFIR/2026/00724,2558,724,closed,"This E-FIR is auto-generated for missing person Vikram Rajkhowa (Digital Tourist ID: STS-AEF9C31306E7, AADHAAR No: XXXX-XXXX-5331). The tourist was last seen at coordinates (26.10464, 91.58312) on 2026-09-05T18:20:50. The Smart Tourist Safety system recorded 49 anomaly/alert event(s) prior to loss of contact. Immediate search and rescue is recommended.",26.104635,91.583125,2026-09-05 18:20:50,2026-09-06 06:20:50,2026-09-07 15:20:50
