tourist_id,index,event,data,timestamp
1,0,ID_ISSUED,"{""digital_id"": ""STS-71963A4B3637"", ""document"": ""369881649"", ""name"": ""Christopher Miller"", ""nationality"": ""American"", ""trip_end"": ""2026-08-12T08:00:00""}",2026-08-04 09:00:00
1,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-04 09:04:00
1,2,CHECKIN,"{""lat"": 26.135, ""lng"": 91.805, ""location"": ""Six Mile""}",2026-08-11 06:00:00
1,3,CHECKOUT,"{""location"": ""En route to Six Mile"", ""trip_completed"": true}",2026-08-12 08:00:00
2,0,ID_ISSUED,"{""digital_id"": ""STS-FE32AAA3098D"", ""document"": ""XXXX-XXXX-8581"", ""name"": ""Sneha Das"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-23T19:30:00""}",2026-08-17 11:30:00
2,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-17 11:47:00
2,2,CHECKIN,"{""lat"": 26.142, ""lng"": 91.79, ""location"": ""Dispur Secretariat""}",2026-08-20 05:30:00
2,3,CHECKOUT,"{""location"": ""Six Mile"", ""trip_completed"": true}",2026-08-23 19:30:00
3,0,ID_ISSUED,"{""digital_id"": ""STS-ECA91D869746"", ""document"": ""XXXX-XXXX-1716"", ""name"": ""Kabir Baishya"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-02T12:45:00""}",2026-08-28 11:45:00
3,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-28 11:53:00
3,2,CHECKIN,"{""lat"": 26.12, ""lng"": 91.65, ""location"": ""Deepor Beel Wildlife Sanctuary""}",2026-08-30 10:45:00
3,3,CHECKOUT,"{""location"": ""En route to Hotel Rajmahal (stay 1)"", ""trip_completed"": true}",2026-09-02 12:45:00
4,0,ID_ISSUED,"{""digital_id"": ""STS-81330C8C06AD"", ""document"": ""313361094"", ""name"": ""Ethan Williams"", ""nationality"": ""American"", ""trip_end"": ""2026-08-26T18:45:00""}",2026-07-31 14:45:00
4,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-31 14:59:00
4,2,CHECKIN,"{""lat"": 25.2, ""lng"": 91.9167, ""location"": ""Mawlynnong Village""}",2026-08-20 08:45:00
4,3,CHECKOUT,"{""location"": ""En route to Ginger Guwahati (stay 2)"", ""trip_completed"": true}",2026-08-26 18:45:00
5,0,ID_ISSUED,"{""digital_id"": ""STS-1129C7A7A455"", ""document"": ""XD849073"", ""name"": ""Lucia Lopez"", ""nationality"": ""Spanish"", ""trip_end"": ""2026-09-13T13:00:00""}",2026-08-22 17:00:00
5,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-22 17:06:00
5,2,CHECKIN,"{""lat"": 26.1824, ""lng"": 91.7513, ""location"": ""Guwahati Railway Station""}",2026-09-03 11:00:00
6,0,ID_ISSUED,"{""digital_id"": ""STS-94F3121DBF88"", ""document"": ""XXXX-XXXX-5454"", ""name"": ""Siddharth Kalita"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-26T11:15:00""}",2026-08-12 13:15:00
6,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-12 13:27:00
6,2,CHECKIN,"{""lat"": 26.1667, ""lng"": 91.5667, ""location"": ""Sualkuchi Silk Village""}",2026-08-22 09:15:00
6,3,CHECKOUT,"{""location"": ""En route to Novotel Guwahati GS Road (stay 2)"", ""trip_completed"": true}",2026-08-26 11:15:00
7,0,ID_ISSUED,"{""digital_id"": ""STS-6DBD21ADCD54"", ""document"": ""XXXX-XXXX-4423"", ""name"": ""Rohan Saikia"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-24T12:30:00""}",2026-08-15 12:30:00
7,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-15 12:44:00
7,2,CHECKIN,"{""lat"": 25.247, ""lng"": 91.715, ""location"": ""Living Root Bridge, Nongriat""}",2026-08-17 08:30:00
7,3,CHECKOUT,"{""location"": ""En route to Dolma Homestay, Tawang (stay 1)"", ""trip_completed"": true}",2026-08-24 12:30:00
8,0,ID_ISSUED,"{""digital_id"": ""STS-9236E2AA8BAF"", ""document"": ""XXXX-XXXX-9240"", ""name"": ""Nabanita Kumar"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-20T18:15:00""}",2026-08-18 06:15:00
8,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-18 06:39:00
8,2,CHECKIN,"{""lat"": 27.3314, ""lng"": 88.6138, ""location"": ""Gangtok""}",2026-09-02 09:15:00
9,0,ID_ISSUED,"{""digital_id"": ""STS-1A5CF513F359"", ""document"": ""XXXX-XXXX-2350"", ""name"": ""Parag Phukan"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-23T15:00:00""}",2026-08-15 04:00:00
9,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-15 04:16:00
9,2,CHECKIN,"{""lat"": 26.9826, ""lng"": 94.6425, ""location"": ""Sivasagar""}",2026-08-16 09:00:00
9,3,CHECKOUT,"{""location"": ""LGB International Airport"", ""trip_completed"": true}",2026-08-23 15:00:00
10,0,ID_ISSUED,"{""digital_id"": ""STS-B48F6A770344"", ""document"": ""HJ793766"", ""name"": ""Emma Roy"", ""nationality"": ""Canadian"", ""trip_end"": ""2026-09-11T18:00:00""}",2026-08-15 08:00:00
10,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-15 08:20:00
10,2,CHECKIN,"{""lat"": 25.5788, ""lng"": 91.8933, ""location"": ""Shillong""}",2026-08-27 08:00:00
11,0,ID_ISSUED,"{""digital_id"": ""STS-36EA71496AC6"", ""document"": ""NX4336447"", ""name"": ""Fenna Bakker"", ""nationality"": ""Dutch"", ""trip_end"": ""2026-08-12T20:30:00""}",2026-07-30 20:30:00
11,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-30 21:03:00
11,2,CHECKIN,"{""lat"": 26.1861, ""lng"": 91.7503, ""location"": ""Dighalipukhuri""}",2026-08-07 10:30:00
11,3,CHECKOUT,"{""location"": ""Guwahati Planetarium"", ""trip_completed"": true}",2026-08-12 20:30:00
12,0,ID_ISSUED,"{""digital_id"": ""STS-3FF0AEA751D9"", ""document"": ""NP6740877"", ""name"": ""Anjana Adhikari"", ""nationality"": ""Nepali"", ""trip_end"": ""2026-09-07T15:45:00""}",2026-08-13 08:45:00
12,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-13 09:22:00
12,2,CHECKIN,"{""lat"": 26.178, ""lng"": 91.786, ""location"": ""Assam State Zoo & Botanical Garden""}",2026-09-03 11:45:00
13,0,ID_ISSUED,"{""digital_id"": ""STS-1256E70DC4F4"", ""document"": ""XXXX-XXXX-3119"", ""name"": ""Debojit Barua"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-27T07:00:00""}",2026-08-02 23:00:00
13,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-02 23:33:00
13,2,CHECKIN,"{""lat"": 25.5788, ""lng"": 91.8933, ""location"": ""Shillong""}",2026-08-13 05:00:00
13,3,CHECKOUT,"{""location"": ""Agartala"", ""trip_completed"": true}",2026-08-27 07:00:00
14,0,ID_ISSUED,"{""digital_id"": ""STS-C959A0E2D6AF"", ""document"": ""XXXX-XXXX-4027"", ""name"": ""Pranjal Verma"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-14T23:00:00""}",2026-08-30 20:00:00
14,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-30 20:02:00
14,2,CHECKIN,"{""lat"": 26.6338, ""lng"": 92.8, ""location"": ""Tezpur""}",2026-08-31 10:00:00
15,0,ID_ISSUED,"{""digital_id"": ""STS-87D9547540CE"", ""document"": ""BX8922518"", ""name"": ""Imran Sarkar"", ""nationality"": ""Bangladeshi"", ""trip_end"": ""2026-09-02T12:30:00""}",2026-08-24 20:30:00
15,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-24 20:34:00
15,2,CHECKIN,"{""lat"": 26.178, ""lng"": 91.786, ""location"": ""Assam State Zoo & Botanical Garden""}",2026-08-30 08:30:00
15,3,CHECKOUT,"{""location"": ""En route to Deepor Beel Wildlife Sanctuary"", ""trip_completed"": true}",2026-09-02 12:30:00
16,0,ID_ISSUED,"{""digital_id"": ""STS-8F7BC2756E33"", ""document"": ""Z4092016"", ""name"": ""Jayanta Reddy"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-08T11:00:00""}",2026-07-07 15:00:00
16,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-07 15:24:00
16,2,CHECKIN,"{""lat"": 25.6751, ""lng"": 94.1086, ""location"": ""Kohima""}",2026-07-25 05:00:00
16,3,CHECKOUT,"{""location"": ""Aizawl"", ""trip_completed"": true}",2026-08-08 11:00:00
17,0,ID_ISSUED,"{""digital_id"": ""STS-37845D93B6D5"", ""document"": ""655108619"", ""name"": ""Antoine Girard"", ""nationality"": ""French"", ""trip_end"": ""2026-08-20T10:00:00""}",2026-07-21 04:00:00
17,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-21 04:28:00
17,2,CHECKIN,"{""lat"": 27.3314, ""lng"": 88.6138, ""location"": ""Gangtok""}",2026-08-02 07:00:00
17,3,CHECKOUT,"{""location"": ""Aizawl"", ""trip_completed"": true}",2026-08-20 10:00:00
18,0,ID_ISSUED,"{""digital_id"": ""STS-C96BEBBB3C3E"", ""document"": ""XXXX-XXXX-1590"", ""name"": ""Jayanta Nath"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-12T14:45:00""}",2026-08-14 03:45:00
18,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-14 04:08:00
18,2,CHECKIN,"{""lat"": 26.5775, ""lng"": 93.1711, ""location"": ""Kaziranga National Park""}",2026-09-01 06:45:00
19,0,ID_ISSUED,"{""digital_id"": ""STS-E9BAB3BECF3B"", ""document"": ""944300277"", ""name"": ""James Smith"", ""nationality"": ""American"", ""trip_end"": ""2026-08-09T13:00:00""}",2026-07-29 18:00:00
19,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-29 18:14:00
19,2,CHECKIN,"{""lat"": 26.1817, ""lng"": 91.7503, ""location"": ""Paltan Bazaar""}",2026-08-05 10:00:00
19,3,CHECKOUT,"{""location"": ""Uzan Bazar Ghat"", ""trip_completed"": true}",2026-08-09 13:00:00
20,0,ID_ISSUED,"{""digital_id"": ""STS-83F77668078E"", ""document"": ""Z5896549"", ""name"": ""Nikhil Banerjee"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-11T19:00:00""}",2026-07-28 19:00:00
20,1,KYC_VERIFIED,"{""document_type"": ""passport"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-28 19:05:00
20,2,CHECKIN,"{""lat"": 26.1824, ""lng"": 91.7513, ""location"": ""Guwahati Railway Station""}",2026-08-10 08:00:00
20,3,CHECKOUT,"{""location"": ""En route to Dolma Homestay, Tawang (stay 1)"", ""trip_completed"": true}",2026-08-11 19:00:00
21,0,ID_ISSUED,"{""digital_id"": ""STS-DC67B1B4BC4B"", ""document"": ""XXXX-XXXX-2174"", ""name"": ""Junmoni Das"", ""nationality"": ""Indian"", ""trip_end"": ""2026-09-21T17:30:00""}",2026-08-19 06:30:00
21,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-08-19 07:01:00
21,2,CHECKIN,"{""lat"": 26.1061, ""lng"": 91.5859, ""location"": ""LGB International Airport""}",2026-09-04 10:30:00
22,0,ID_ISSUED,"{""digital_id"": ""STS-D99FAF837DB7"", ""document"": ""XXXX-XXXX-7788"", ""name"": ""Sneha Patel"", ""nationality"": ""Indian"", ""trip_end"": ""2026-08-07T16:30:00""}",2026-07-30 20:30:00
22,1,KYC_VERIFIED,"{""document_type"": ""aadhaar"", ""method"": ""document_scan"", ""verified_by"": ""auto_kyc""}",2026-07-30 20:32:00
22,2,CHECKIN,"{""lat"": 26.1856, ""lng"": 91.7625, ""location"": ""Guwahati Planetarium""}",2026-08-03 05:30:00
22,3,CHECKOUT,"{""location"": ""Umananda Island"", ""trip_completed"": true}",2026-08-07 16:30:00
23,0,ID_ISSUED,"{""digital_id"": ""STS-3A1DDDD37D8A"", ""document"": ""598909066"", ""name"": ""Christopher Jones"", ""nationality"": ""American"", ""trip_end"": ""2026-08-11T15:30:00""}",2026-07-28 05:30:00
