id,digital_id,full_name,nationality,document_type,document_number,phone,itinerary,emergency_contacts,trip_start,trip_end,last_lat,last_lng,last_seen,safety_score,tracking_enabled,status,created_at,behaviour_profile,trip_cluster
1,STS-71963A4B3637,Christopher Miller,American,passport,369881649,+1-5246488499,"[{""name"": ""Hotel Polo Towers, Shillong (stay 1)"", ""lat"": 26.155472, ""lng"": 91.779433}, {""name"": ""Six Mile"", ""lat"": 26.135, ""lng"": 91.805}, {""name"": ""Dispur Secretariat"", ""lat"": 26.142, ""lng"": 91.79}, {""name"": ""Guwahati Railway Station"", ""lat"": 26.1824, ""lng"": 91.7513}, {""name"": ""En route to Guwahati Railway Station"", ""lat"": 26.155467, ""lng"": 91.7771}, {""name"": ""En route to Guwahati Railway Station"", ""lat"": 26.168933, ""lng"": 91.7642}, {""name"": ""En route to Hotel Polo Towers, Shillong (stay 1)"", ""lat"": 26.168936, ""lng"": 91.765366}, {""name"": ""En route to Six Mile"", ""lat"": 26.145236, ""lng"": 91.792216}]","[{""name"": ""Michael Garcia"", ""phone"": ""+1-1664890082"", ""relation"": ""family""}, {""name"": ""David Rodriguez"", ""phone"": ""+1-5581308898"", ""relation"": ""spouse""}]",2026-08-11 06:00:00,2026-08-12 08:00:00,26.155162,91.779459,2026-08-12 06:41:52,81.7,1,active,2026-08-04 09:00:00,high_speed_transit,Business / Transit Stay
2,STS-FE32AAA3098D,Sneha Das,Indian,aadhaar,XXXX-XXXX-8581,+91-7188496806,"[{""name"": ""Ygdrasill Bamboo Resort, Cherrapunji (stay 1)"", ""lat"": 26.138834, ""lng"": 91.795867}, {""name"": ""Dispur Secretariat"", ""lat"": 26.142, ""lng"": 91.79}, {""name"": ""Ganeshguri Junction"", ""lat"": 26.147, ""lng"": 91.79}, {""name"": ""Six Mile"", ""lat"": 26.135, ""lng"": 91.805}]","[{""name"": ""Anjali Deka"", ""phone"": ""+91-8143672868"", ""relation"": ""family""}, {""name"": ""Kabir Das"", ""phone"": ""+91-7303885681"", ""relation"": ""spouse""}]",2026-08-20 05:30:00,2026-08-23 19:30:00,26.138872,91.796225,2026-08-23 06:47:39,80.2,1,active,2026-08-17 11:30:00,high_speed_transit,Business / Transit Stay
3,STS-ECA91D869746,Kabir Baishya,Indian,aadhaar,XXXX-XXXX-1716,+91-7770564616,"[{""name"": ""Hotel Rajmahal (stay 1)"", ""lat"": 26.106252, ""lng"": 91.618232}, {""name"": ""Deepor Beel Wildlife Sanctuary"", ""lat"": 26.12, ""lng"": 91.65}, {""name"": ""Accoland Water Park"", ""lat"": 26.09, ""lng"": 91.59}, {""name"": ""Hotel Polo Towers, Shillong (stay 2)"", ""lat"": 25.931277, ""lng"": 91.429534}, {""name"": ""Chandubi Lake"", ""lat"": 25.9333, ""lng"": 91.4333}, {""name"": ""En route to Accoland Water Park"", ""lat"": 26.11, ""lng"": 91.63}, {""name"": ""En route to Accoland Water Park"", ""lat"": 26.1, ""lng"": 91.61}, {""name"": ""En route to Deepor Beel Wildlife Sanctuary"", ""lat"": 26.113126, ""lng"": 91.634116}, {""name"": ""En route to Hotel Rajmahal (stay 1)"", ""lat"": 26.098126, ""lng"": 91.604116}]","[{""name"": ""Pooja Reddy"", ""phone"": ""+91-7186003203"", ""relation"": ""family""}, {""name"": ""Kabir Kumar"", ""phone"": ""+91-9899901140"", ""relation"": ""spouse""}, {""name"": ""Kavya Hazarika"", ""phone"": ""+91-9131719786"", ""relation"": ""family""}]",2026-08-30 10:45:00,2026-09-02 12:45:00,25.930909,91.429462,2026-09-02 06:38:40,79.7,1,active,2026-08-28 11:45:00,normal,Guwahati Nature & Wildlife
4,STS-81330C8C06AD,Ethan Williams,American,passport,313361094,+1-2356948045,"[{""name"": ""Brahmaputra Jungle Resort (stay 1)"", ""lat"": 25.201723, ""lng"": 91.915813}, {""name"": ""Mawlynnong Village"", ""lat"": 25.2, ""lng"": 91.9167}, {""name"": ""Ginger Guwahati (stay 2)"", ""lat"": 25.621099, ""lng"": 91.889452}, {""name"": ""Shillong"", ""lat"": 25.5788, ""lng"": 91.8933}, {""name"": ""Umiam Lake"", ""lat"": 25.657, ""lng"": 91.889}, {""name"": ""En route to Umiam Lake"", ""lat"": 25.59835, ""lng"": 91.892225}, {""name"": ""En route to Umiam Lake"", ""lat"": 25.6179, ""lng"": 91.89115}, {""name"": ""En route to Umiam Lake"", ""lat"": 25.63745, ""lng"": 91.890075}, {""name"": ""En route to Shillong"", ""lat"": 25.59995, ""lng"": 91.891376}, {""name"": ""En route to Ginger Guwahati (stay 2)"", ""lat"": 25.639049, ""lng"": 91.889226}]","[{""name"": ""Daniel Smith"", ""phone"": ""+1-7349429046"", ""relation"": ""family""}, {""name"": ""Emily Garcia"", ""phone"": ""+1-6518870179"", ""relation"": ""spouse""}]",2026-08-20 08:45:00,2026-08-26 18:45:00,25.621233,91.889062,2026-08-26 06:30:07,79.0,0,active,2026-07-31 14:45:00,normal,Meghalaya Loop
5,STS-1129C7A7A455,Lucia Lopez,Spanish,passport,XD849073,+34-453910161,"[{""name"": ""Novotel Guwahati GS Road (stay 1)"", ""lat"": 26.185989, ""lng"": 91.75255}, {""name"": ""Guwahati Railway Station"", ""lat"": 26.1824, ""lng"": 91.7513}, {""name"": ""Brahmaputra Jungle Resort (stay 2)"", ""lat"": 25.578908, ""lng"": 91.892703}, {""name"": ""Shillong"", ""lat"": 25.5788, ""lng"": 91.8933}, {""name"": ""Radisson Blu Guwahati (stay 3)"", ""lat"": 25.279858, ""lng"": 91.68324}, {""name"": ""Nohkalikai Falls"", ""lat"": 25.276, ""lng"": 91.6857}, {""name"": ""Hotel Rajmahal (stay 4)"", ""lat"": 25.190634, ""lng"": 92.023846}, {""name"": ""Dawki / Umngot River"", ""lat"": 25.19, ""lng"": 92.02}]","[{""name"": ""Carmen Lopez"", ""phone"": ""+34-587084779"", ""relation"": ""family""}, {""name"": ""Pablo Gomez"", ""phone"": ""+34-517675539"", ""relation"": ""spouse""}, {""name"": ""Spanish Consulate, Kolkata"", ""phone"": ""+91-6889073781"", ""relation"": ""embassy""}]",2026-09-03 11:00:00,2026-09-13 13:00:00,25.279597,91.683307,2026-09-05 18:33:13,29.1,1,active,2026-08-22 17:00:00,normal,Meghalaya Loop
6,STS-94F3121DBF88,Siddharth Kalita,Indian,aadhaar,XXXX-XXXX-5454,+91-7219143907,"[{""name"": ""Brahmaputra Jungle Resort (stay 1)"", ""lat"": 26.169057, ""lng"": 91.564952}, {""name"": ""Sualkuchi Silk Village"", ""lat"": 26.1667, ""lng"": 91.5667}, {""name"": ""Novotel Guwahati GS Road (stay 2)"", ""lat"": 26.173689, ""lng"": 91.757297}, {""name"": ""Fancy Bazaar"", ""lat"": 26.1836, ""lng"": 91.7434}, {""name"": ""Pan Bazaar"", ""lat"": 26.1856, ""lng"": 91.7455}, {""name"": ""Paltan Bazaar"", ""lat"": 26.1817, ""lng"": 91.7503}, {""name"": ""Uzan Bazar Ghat"", ""lat"": 26.19, ""lng"": 91.759}, {""name"": ""Srimanta Sankaradeva Kalakshetra"", ""lat"": 26.144, ""lng"": 91.8058}, {""name"": ""En route to Srimanta Sankaradeva Kalakshetra"", ""lat"": 26.174667, ""lng"": 91.7746}, {""name"": ""En route to Srimanta Sankaradeva Kalakshetra"", ""lat"": 26.159333, ""lng"": 91.7902}, {""name"": ""En route to Novotel Guwahati GS Road (stay 2)"", ""lat"": 26.153896, ""lng"": 91.789632}, {""name"": ""En route to Novotel Guwahati GS Road (stay 2)"", ""lat"": 26.163793, ""lng"": 91.773465}]","[{""name"": ""Nikhil Nair"", ""phone"": ""+91-6160499100"", ""relation"": ""family""}]",2026-08-22 09:15:00,2026-08-26 11:15:00,26.173386,91.757505,2026-08-26 06:48:29,81.5,1,active,2026-08-12 13:15:00,inactivity,Guwahati Market & Heritage Walk
7,STS-6DBD21ADCD54,Rohan Saikia,Indian,aadhaar,XXXX-XXXX-4423,+91-8684676780,"[{""name"": ""Dolma Homestay, Tawang (stay 1)"", ""lat"": 25.270475, ""lng"": 91.696762}, {""name"": ""Living Root Bridge, Nongriat"", ""lat"": 25.247, ""lng"": 91.715}, {""name"": ""Nohkalikai Falls"", ""lat"": 25.276, ""lng"": 91.6857}, {""name"": ""Cherrapunji (Sohra)"", ""lat"": 25.2912, ""lng"": 91.6783}, {""name"": ""Wild Mahseer, Balipara (stay 2)"", ""lat"": 25.20388, ""lng"": 91.915799}, {""name"": ""Mawlynnong Village"", ""lat"": 25.2, ""lng"": 91.9167}, {""name"": ""Kiranshree Portico (stay 3)"", ""lat"": 25.58023, ""lng"": 91.891221}, {""name"": ""Shillong"", ""lat"": 25.5788, ""lng"": 91.8933}, {""name"": ""Kiranshree Portico (stay 4)"", ""lat"": 26.185939, ""lng"": 91.754898}, {""name"": ""Guwahati Railway Station"", ""lat"": 26.1824, ""lng"": 91.7513}, {""name"": ""En route to Nohkalikai Falls"", ""lat"": 25.2615, ""lng"": 91.70035}, {""name"": ""En route to Living Root Bridge, Nongriat"", ""lat"": 25.258738, ""lng"": 91.705881}, {""name"": ""En route to Dolma Homestay, Tawang (stay 1)"", ""lat"": 25.280838, ""lng"": 91.687531}]","[{""name"": ""Sneha Hazarika"", ""phone"": ""+91-9854927240"", ""relation"": ""family""}, {""name"": ""Rohan Phukan"", ""phone"": ""+91-6208601460"", ""relation"": ""spouse""}, {""name"": ""Ishita Singh"", ""phone"": ""+91-6854327163"", ""relation"": ""colleague""}]",2026-08-17 08:30:00,2026-08-24 12:30:00,26.186049,91.755053,2026-08-24 06:49:27,80.3,1,active,2026-08-15 12:30:00,geofence_intrusion,Meghalaya Loop
8,STS-9236E2AA8BAF,Nabanita Kumar,Indian,aadhaar,XXXX-XXXX-9240,+91-9930914015,"[{""name"": ""Hotel Rajmahal (stay 1)"", ""lat"": 27.330486, ""lng"": 88.616899}, {""name"": ""Gangtok"", ""lat"": 27.3314, ""lng"": 88.6138}, {""name"": ""Hotel Dynasty, Lakhtokia (stay 2)"", ""lat"": 26.105528, ""lng"": 91.584486}, {""name"": ""LGB International Airport"", ""lat"": 26.1061, ""lng"": 91.5859}, {""name"": ""Kiranshree Portico (stay 3)"", ""lat"": 26.578105, ""lng"": 93.172318}, {""name"": ""Kaziranga National Park"", ""lat"": 26.5775, ""lng"": 93.1711}, {""name"": ""Kiranshree Portico (stay 4)"", ""lat"": 23.72448, ""lng"": 92.715846}, {""name"": ""Aizawl"", ""lat"": 23.7271, ""lng"": 92.7176}, {""name"": ""Ginger Guwahati (stay 5)"", ""lat"": 23.831695, ""lng"": 91.288875}, {""name"": ""Agartala"", ""lat"": 23.8315, ""lng"": 91.2868}]","[{""name"": ""Rupam Verma"", ""phone"": ""+91-8601804033"", ""relation"": ""family""}, {""name"": ""Anjali Nair"", ""phone"": ""+91-6153735866"", ""relation"": ""spouse""}]",2026-09-02 09:15:00,2026-09-20 18:15:00,23.724521,92.715956,2026-09-05 18:37:05,75.0,1,active,2026-08-18 06:15:00,normal,Seven Sisters Grand Tour
9,STS-1A5CF513F359,Parag Phukan,Indian,aadhaar,XXXX-XXXX-2350,+91-9597442526,"[{""name"": ""Wild Mahseer, Balipara (stay 1)"", ""lat"": 26.98205, ""lng"": 94.645802}, {""name"": ""Sivasagar"", ""lat"": 26.9826, ""lng"": 94.6425}, {""name"": ""Hotel Polo Towers, Shillong (stay 2)"", ""lat"": 26.75062, ""lng"": 94.205935}, {""name"": ""Jorhat"", ""lat"": 26.7509, ""lng"": 94.2037}, {""name"": ""Hotel Nandan (stay 3)"", ""lat"": 26.576409, ""lng"": 93.174005}, {""name"": ""Kaziranga National Park"", ""lat"": 26.5775, ""lng"": 93.1711}, {""name"": ""Hotel Nandan (stay 4)"", ""lat"": 26.107076, ""lng"": 91.584346}, {""name"": ""LGB International Airport"", ""lat"": 26.1061, ""lng"": 91.5859}]","[{""name"": ""Kavya Sen"", ""phone"": ""+91-7528783573"", ""relation"": ""family""}, {""name"": ""Pooja Baishya"", ""phone"": ""+91-6330734533"", ""relation"": ""spouse""}]",2026-08-16 09:00:00,2026-08-23 15:00:00,26.106821,91.58457,2026-08-23 06:32:30,81.2,1,active,2026-08-15 04:00:00,route_deviation,Upper Assam Wildlife Trail
10,STS-B48F6A770344,Emma Roy,Canadian,passport,HJ793766,+1-8732609685,"[{""name"": ""Ygdrasill Bamboo Resort, Cherrapunji (stay 1)"", ""lat"": 25.577548, ""lng"": 91.895435}, {""name"": ""Shillong"", ""lat"": 25.5788, ""lng"": 91.8933}, {""name"": ""Ri Kynjai, Umiam (stay 2)"", ""lat"": 26.104509, ""lng"": 91.587158}, {""name"": ""LGB International Airport"", ""lat"": 26.1061, ""lng"": 91.5859}, {""name"": ""Novotel Guwahati GS Road (stay 3)"", ""lat"": 26.577645, ""lng"": 93.173505}, {""name"": ""Kaziranga National Park"", ""lat"": 26.5775, ""lng"": 93.1711}, {""name"": ""Dolma Homestay, Tawang (stay 4)"", ""lat"": 25.678797, ""lng"": 94.106602}, {""name"": ""Kohima"", ""lat"": 25.6751, ""lng"": 94.1086}, {""name"": ""Diphlu River Lodge, Kaziranga (stay 5)"", ""lat"": 23.730277, ""lng"": 92.718478}, {""name"": ""Aizawl"", ""lat"": 23.7271, ""lng"": 92.7176}, {""name"": ""Novotel Guwahati GS Road (stay 6)"", ""lat"": 23.832272, ""lng"": 91.289348}, {""name"": ""Agartala"", ""lat"": 23.8315, ""lng"": 91.2868}]","[{""name"": ""Logan Morin"", ""phone"": ""+1-8348002264"", ""relation"": ""family""}, {""name"": ""Lucas Cote"", ""phone"": ""+1-8205548298"", ""relation"": ""spouse""}, {""name"": ""Ava Morin"", ""phone"": ""+1-3147498474"", ""relation"": ""tour_operator""}]",2026-08-27 08:00:00,2026-09-11 18:00:00,23.832335,91.289748,2026-09-05 18:07:21,70.9,1,active,2026-08-15 08:00:00,normal,Seven Sisters Grand Tour
